Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
Ronse,House,None,"€185,000",None,3,137m²squaremeters,Yes,Yes,No,No,No,137m²squaremeters,60m²squaremeters,2,Yes,Justrenovated
Antwerp,Project,None,"€422,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Ternat,House,None,"€365,000",None,4,180m²squaremeters,Yes,No,No,No,No,180m²squaremeters,500m²squaremeters,3,No,Tobedoneup
Laeken,House,None,"€595,000",None,4,233m²squaremeters,Yes,No,No,No,No,233m²squaremeters,296m²squaremeters,2,Yes,Tobedoneup
Liège,House,None,"€225,000",None,4,195m²squaremeters,Yes,Yes,No,Yes,No,195m²squaremeters,158m²squaremeters,2,No,Good
|,Project,None,"€282,500",None,None,None,No,No,No,No,No,None,None,None,No,None
Kessel-Lo,House,None,Make,None,5,264m²squaremeters,Yes,No,No,No,No,264m²squaremeters,522m²squaremeters,3,No,Good
Woluwe-Saint-Pierre,House,None,"€545,000",None,3,120m²squaremeters,Yes,Yes,No,No,No,120m²squaremeters,92m²squaremeters,2,No,Asnew
SCRY,House,None,"€30,000",None,2,100m²squaremeters,Yes,Yes,No,Yes,Yes,100m²squaremeters,2010m²squaremeters,3,No,Tobedoneup
VYLE-ET-THAROUL,House,None,"€220,000",None,2,75m²squaremeters,Yes,Yes,No,Yes,Yes,75m²squaremeters,606m²squaremeters,4,No,Asnew
Ronse,House,None,"€237,500",None,3,190m²squaremeters,Yes,Yes,No,No,No,190m²squaremeters,170m²squaremeters,2,No,Asnew
Esneux,House,None,"€260,000",None,2,96m²squaremeters,Yes,Yes,No,No,No,96m²squaremeters,325m²squaremeters,4,No,Good
Leuven,House,None,"€419,000",None,5,187m²squaremeters,Yes,Yes,No,No,No,187m²squaremeters,318m²squaremeters,3,No,Torenovate
Ronse,Villa,None,"€499,000",None,4,230m²squaremeters,Yes,Yes,No,No,No,230m²squaremeters,2864m²squaremeters,4,Yes,Good
Forest,Woningen,None,"€383,850",None,None,None,No,No,No,No,No,None,None,None,No,None
Forest,Woningen,None,"€388,850",None,None,None,No,No,No,No,No,None,None,None,No,None
Mechelen,Residentie,None,"€336,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Mechelen,New,None,"€336,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Genval,Villa,None,"€695,000",None,2,350m²squaremeters,Yes,Yes,No,No,No,350m²squaremeters,850m²squaremeters,4,Yes,Good
Waregem,House,None,"€298,000",None,2,120m²squaremeters,Yes,Yes,No,Yes,Yes,120m²squaremeters,164m²squaremeters,3,No,Good
Waregem,House,None,"€298,000",None,2,120m²squaremeters,Yes,Yes,No,Yes,Yes,120m²squaremeters,164m²squaremeters,3,No,Good
